variable_name,datasets_involved,conflict_type,evidence,proposed_change,risk_note
city_interact_maj_muslim,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Interaction Index- majority: muslim (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Interaction Index- majority: muslim (town) (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_interact_maj_sc,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Interaction Index- majority: sc (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Interaction Index- majority: sc (town) (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_interact_min_muslim,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Interaction Index- minority: muslim (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Interaction Index- minority: muslim (town) (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_interact_min_sc,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Interaction Index- minority: sc (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Interaction Index- minority: sc (town) (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_iso_muslim,seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Isolation: muslim (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Isolation: muslim (town) (seg_correlates.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_iso_muslim_rescaled,seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Rescaled Isolation (0-1): muslim (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Rescaled Isolation (0-1): muslim (town) (seg_correlates.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_iso_sc,seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Isolation: sc (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Isolation: sc (town) (seg_correlates.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_iso_sc_rescaled,seg_correlates.dta; segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Rescaled Isolation (0-1): sc (subdistrict) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta) | Rescaled Isolation (0-1): sc (town) (seg_correlates.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_pop,seg_correlates.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (rawsum) population at the town level (seg_correlates.dta) | total city population (doesn't include those with missing sc/st classification) (segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
city_pop_pc11,seg_correlates.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: Total Population (subdistrict) PC11 (segregation_citydata_rural_200.dta) | Total Population (town) PC11 (seg_correlates.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
closed_drain,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) closed_drain (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) closed_drain (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
closed_drain_muslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) closed_drain_muslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) closed_drain_muslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
closed_drain_nonmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) closed_drain_nonmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) closed_drain_nonmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
closed_drain_nonsc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) closed_drain_nonsc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) closed_drain_nonsc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
closed_drain_nonscmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) closed_drain_nonscmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) closed_drain_nonscmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
closed_drain_sc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) closed_drain_sc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) closed_drain_sc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_hospital,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for hospitals in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for hospitals in subdistrict (segregation_citydata_rural_200.dta) | Dummy for hospitals in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_hospital_emp_priv,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for private hospital employment in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for private hospital employment in subdistrict (segregation_citydata_rural_200.dta) | Dummy for private hospital employment in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_hospital_emp_pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for public hospital employment in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for public hospital employment in subdistrict (segregation_citydata_rural_200.dta) | Dummy for public hospital employment in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_hospital_priv,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for private hospitals in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for private hospitals in subdistrict (segregation_citydata_rural_200.dta) | Dummy for private hospitals in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_hospital_pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for public hospitals in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for public hospitals in subdistrict (segregation_citydata_rural_200.dta) | Dummy for public hospitals in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_primary,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for primary school (subdistrict) (segregation_citydata_rural_200.dta) | Dummy for primary school (town) (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | Dummy for primary school in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_primary_emp_priv,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for private primary school employment (subdistrict) (segregation_citydata_rural_200.dta) | Dummy for private primary school employment (town) (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | Dummy for private primary school employment in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_primary_emp_pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for public primary school employment (subdistrict) (segregation_citydata_rural_200.dta) | Dummy for public primary school employment (town) (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | Dummy for public primary school employment in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_primary_priv,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for private primary school (subdistrict) (segregation_citydata_rural_200.dta) | Dummy for private primary school (town) (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | Dummy for private primary school in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_primary_pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for public primary school (subdistrict) (segregation_citydata_rural_200.dta) | Dummy for public primary school (town) (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta) | Dummy for public primary school in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_secondary,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for secondary school in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for secondary school in subdistrict (segregation_citydata_rural_200.dta) | Dummy for secondary school in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_secondary_emp_priv,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for private secondary school employment in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for private secondary school employment in subdistrict (segregation_citydata_rural_200.dta) | Dummy for private secondary school employment in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_secondary_emp_pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for public secondary school employment iin neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for public secondary school employment in subdistrict (segregation_citydata_rural_200.dta) | Dummy for public secondary school employment in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_secondary_priv,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for private secondary school in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for private secondary school in subdistrict (segregation_citydata_rural_200.dta) | Dummy for private secondary school in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
dum_secondary_pub,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | Dummy for public secondary school in neighborhood (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta) | Dummy for public secondary school in subdistrict (segregation_citydata_rural_200.dta) | Dummy for public secondary school in town (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
hh,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (nansum) (rawsum) hh (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | number of households (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_citydata_rural_200.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
latrine_home,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) latrine_home (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) latrine_home (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
latrine_home_muslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) latrine_home_muslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) latrine_home_muslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
latrine_home_nonmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) latrine_home_nonmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) latrine_home_nonmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
latrine_home_nonsc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) latrine_home_nonsc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) latrine_home_nonsc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
latrine_home_nonscmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) latrine_home_nonscmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) latrine_home_nonscmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
latrine_home_sc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) latrine_home_sc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) latrine_home_sc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
light_source_elec,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) light_source_elec (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) light_source_elec (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
light_source_elec_muslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) light_source_elec_muslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) light_source_elec_muslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
light_source_elec_nonmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) light_source_elec_nonmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) light_source_elec_nonmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
light_source_elec_nonsc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) light_source_elec_nonsc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) light_source_elec_nonsc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
light_source_elec_nonscmuslim,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) light_source_elec_nonscmuslim (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) light_source_elec_nonscmuslim (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
light_source_elec_sc,segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta; segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta,label,variable_label: (first) (mean) light_source_elec_sc (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | (mean) (mean) light_source_elec_sc (segregation_citydata_urban_200.dta; segregation_citydata_urban_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
log_block_pop,segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta; segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta,label,variable_label: <blank> (segregation_blockdata_urban_200.dta; segregation_blockdata_urban_4000.dta) | log(neighborhood population) (segregation_blockdata_rural_200.dta; segregation_blockdata_rural_4000.dta),Choose one authoritative variable label or rename if labels imply different concepts.,Blank versus nonblank labels are flagged because documentation differs across datasets.
